S,xi1,xi2
100.0,-0.006314562640374942,-0.016649859621255987
99.9013268638732,-0.004302733505435674,-0.018990198336110407
100.65828304767894,-0.004339352712736737,-0.018855567028515683
100.57953822154333,-0.0068760674254377185,-0.015782368249761865
100.61225783780172,-0.008059268516873329,-0.014569620152015662
101.06793487215593,-0.007343713514570579,-0.015321756024886118
100.80023358133009,-0.008673184453086442,-0.013789567643415022
100.63290615954833,-0.008404352131737621,-0.01377308161689242
100.68644932309672,-0.011823070058595897,-0.008363841130248625
100.60357894351944,-0.013849307875389892,-0.005007882494417649
100.32466456286348,-0.015322621799537216,-0.0015602477723411661
100.28004741967186,-0.01649852273588462,0.0010841516627136275
100.20546702984308,-0.016647387673152762,0.00150052322794523
100.33085221599578,-0.018755757273037806,0.005759756856757435
100.01347384510747,-0.016724508093191134,0.0010823523104593596
99.8686382863616,-0.015228747950128007,-0.0017947584458862117
100.121515929093,-0.016267856433883347,0.00034488467860806444
100.5136437193645,-0.01625139154507005,0.0006662589346828957
100.19494722960332,-0.016252619676939226,0.001238504123605284
100.33030261826306,-0.015047864825685976,-0.0014976052290084675
100.11443273252559,-0.013420632941074692,-0.004552626556416636
99.91412239886542,-0.011603364148351766,-0.007724581219804928
99.69646224069498,-0.013087114225827954,-0.004465495877138259
99.59760693546583,-0.014669787187953863,-0.0008993567750342772
99.81660632080715,-0.011771588228503077,-0.006188388017000461
99.9916156849139,-0.010611300956979052,-0.008567892220572625
100.0070886806567,-0.011513061877918682,-0.005995554228210841
99.91777086216236,-0.009575378269624202,-0.009397476391916314
99.91887595277126,-0.010058969753100555,-0.008435644259307758
99.89158221247853,-0.009316693289961228,-0.008869696126476272
100.10200892885987,-0.008862787212145992,-0.009132080247618368
99.93249719979696,-0.0084707083711484,-0.009446623840397074
99.93103769014533,-0.0060631807978109,-0.012206187285697424
99.90173976131494,-0.005953269216417887,-0.012351150782353076
99.88662455795064,-0.008142804642015574,-0.010124317955572197
99.95534846215317,-0.005645120581781337,-0.013522562093101625
100.01429381213218,-0.005487732479460414,-0.013747269800517747
100.41311450461868,-0.0059113819438847345,-0.013052357568111286
100.38761410430303,-0.004535971727511627,-0.01517366269580853
100.86602551287879,-0.00442308730829443,-0.014882387529397084
100.77211590226318,-0.0028278437905904217,-0.015579329810303246
100.62121522695905,-0.0032322936174948567,-0.015930594601993753
100.65306751468334,-0.004935608372767238,-0.014840354062453815
100.76152973389439,-0.007320112312137672,-0.012656693634247906
100.83939616138653,-0.008053591673037108,-0.012283943195080851
101.20571042634953,-0.007563284826197484,-0.012828700482464322
101.53426679114506,-0.010827207154948615,-0.008085042932558576
101.6624155690379,-0.012668620419729238,-0.0048562899200144055
101.58142231782125,-0.01294338288096602,-0.004376642482529981
101.55767434893515,-0.012511035796244366,-0.00450116847768219
101.89928299949109,-0.012876029885636874,-0.003592682507509966
101.95233738411618,-0.013059048457283612,-0.00268864683813517
101.64389130007433,-0.014697558608043879,0.0005100803394032911
101.49222020299833,-0.015403152564499131,0.0019363411209671762
101.36892110332043,-0.011761768314510769,-0.005890062369056648
101.65502639067684,-0.012876422360215863,-0.003554658523368663
101.6298610619234,-0.010951461466371399,-0.006866516482780286
102.20696134903332,-0.008902696332859674,-0.009737070168818718
102.38789865942518,-0.011165524309534557,-0.006137576423272657
102.41990162421587,-0.005517639530245433,-0.015061340593828791
102.28642970173507,-0.0020049980099295112,-0.017273120201932585
